"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"22.05.2026","173,30","173,53","173,53","171,68","4,04M","-0,50%"
"21.05.2026","174,17","173,01","175,47","172,52","2,09M","0,13%"
"20.05.2026","173,95","172,13","175,01","171,95","2,96M","1,80%"
"19.05.2026","170,87","171,27","172,70","170,30","2,95M","-1,80%"
"18.05.2026","174,00","173,65","174,00","172,50","3,41M","0,07%"
"15.05.2026","173,88","172,40","174,21","172,09","4,12M","-0,73%"
"14.05.2026","175,16","175,04","176,19","174,33","3,61M","0,79%"
"13.05.2026","173,79","176,91","177,19","173,44","4,71M","-1,92%"
"12.05.2026","177,19","177,87","178,43","176,57","3,85M","-0,78%"
"11.05.2026","178,59","180,23","181,13","178,22","4,12M","-1,29%"
"08.05.2026","180,93","181,30","182,78","180,78","2,55M","0,68%"
"07.05.2026","179,70","183,25","183,25","179,46","5,02M","-2,47%"
"06.05.2026","184,25","184,38","185,27","183,50","3,11M","0,53%"
"05.05.2026","183,27","182,03","183,95","182,03","1,70M","0,83%"
"04.05.2026","181,76","183,99","184,30","181,76","2,08M","-1,27%"
"30.04.2026","184,09","182,78","184,66","182,49","4,11M","1,69%"
"29.04.2026","181,03","184,00","184,21","181,03","3,07M","-2,23%"
"28.04.2026","185,16","184,13","185,57","183,94","3,78M","-0,48%"
"27.04.2026","186,06","187,56","187,85","186,06","2,81M","-0,51%"
"24.04.2026","187,01","188,10","188,13","186,52","6,89M","-0,46%"
"23.04.2026","187,87","189,29","189,89","187,38","3,53M","-0,77%"
"22.04.2026","189,33","192,00","192,32","189,05","4,45M","-1,72%"
"20.04.2026","192,64","192,10","193,17","191,64","2,96M","0,28%"
"17.04.2026","192,10","194,80","195,73","191,73","5,92M","-0,49%"
"16.04.2026","193,05","194,48","194,84","192,70","5,79M","-0,42%"
"15.04.2026","193,86","194,50","195,54","193,28","4,55M","-0,67%"
"14.04.2026","195,16","194,40","195,72","194,40","4,31M","0,44%"
"13.04.2026","194,30","193,57","194,60","192,50","4,23M","0,24%"
"10.04.2026","193,84","192,55","193,95","192,22","6,60M","1,12%"
"09.04.2026","191,70","189,95","191,94","189,30","5,09M","1,43%"
"08.04.2026","189,00","190,87","191,37","187,55","8,26M","2,16%"
"07.04.2026","185,00","183,69","185,00","182,36","3,25M","0,24%"
"06.04.2026","184,56","185,05","185,78","184,20","3,97M","0,10%"
"02.04.2026","184,37","181,52","185,78","181,34","3,96M","0,10%"
"01.04.2026","184,18","184,63","185,68","183,75","3,57M","-0,05%"
"31.03.2026","184,28","181,77","184,28","180,92","4,79M","2,95%"
"30.03.2026","179,00","179,91","181,00","178,45","3,13M","0,71%"
"27.03.2026","177,74","178,19","180,13","177,60","2,97M","-0,95%"
"26.03.2026","179,45","179,91","181,60","179,13","2,90M","-1,51%"
"25.03.2026","182,20","181,00","183,02","180,66","3,47M","1,68%"
"24.03.2026","179,19","177,83","179,27","176,41","3,56M","0,16%"
"23.03.2026","178,90","175,60","179,60","175,32","8,88M","3,40%"
"20.03.2026","173,01","176,28","176,28","171,59","13,20M","-2,34%"
"19.03.2026","177,15","173,09","178,04","172,75","6,36M","0,77%"
"18.03.2026","175,80","176,00","178,13","175,80","5,20M","-0,58%"
"17.03.2026","176,83","176,50","179,27","176,46","3,98M","0,16%"
"16.03.2026","176,55","177,04","177,83","175,95","4,60M","1,15%"
"13.03.2026","174,55","176,60","177,66","173,84","6,56M","-0,74%"
"12.03.2026","175,85","178,18","178,40","175,02","6,00M","-2,42%"
"11.03.2026","180,21","178,49","182,22","178,44","3,80M","0,26%"
"10.03.2026","179,75","178,49","181,88","177,14","6,48M","1,40%"
"09.03.2026","177,26","175,20","178,56","174,13","5,42M","0,78%"
"06.03.2026","175,89","176,66","177,74","175,11","4,81M","-0,49%"
"05.03.2026","176,75","181,10","181,17","176,41","6,01M","-2,67%"
"04.03.2026","181,60","182,07","182,85","179,84","3,44M","1,28%"
"03.03.2026","179,30","180,70","181,29","176,96","8,74M","-3,34%"
"02.03.2026","185,50","183,99","186,50","182,91","5,32M","0,18%"
"27.02.2026","185,16","186,92","187,33","184,87","4,65M","-1,17%"
"26.02.2026","187,35","187,61","188,10","185,30","4,83M","-0,06%"
"25.02.2026","187,46","188,89","188,96","186,66","6,11M","-0,17%"
"24.02.2026","187,78","186,01","188,19","186,00","5,04M","1,41%"
"23.02.2026","185,17","186,07","187,39","184,63","5,35M","-0,81%"
"20.02.2026","186,69","183,40","187,00","183,16","20,63M","0,92%"
"19.02.2026","184,99","182,61","185,20","182,45","3,28M","1,40%"
"18.02.2026","182,43","184,00","184,10","181,38","3,87M","-0,30%"
"13.02.2026","182,98","181,85","182,98","180,10","7,27M","-0,71%"
"12.02.2026","184,28","185,65","186,44","183,36","8,51M","-0,92%"
"11.02.2026","185,99","184,20","186,96","183,89","7,48M","1,97%"
"10.02.2026","182,40","182,19","183,43","181,60","4,97M","-0,21%"
"09.02.2026","182,79","179,82","183,00","179,62","2,91M","1,98%"
"06.02.2026","179,24","178,94","179,80","177,91","2,91M","0,33%"
"05.02.2026","178,65","178,55","180,67","178,02","5,36M","0,25%"
"04.02.2026","178,20","181,16","181,28","176,76","7,12M","-2,19%"
"03.02.2026","182,19","181,66","183,81","180,79","5,84M","1,67%"
"02.02.2026","179,20","178,05","179,47","177,90","8,16M","0,56%"
"30.01.2026","178,20","178,95","180,20","176,65","6,76M","-0,81%"
"29.01.2026","179,65","182,30","183,14","178,12","8,77M","-0,96%"
"28.01.2026","181,40","179,89","181,69","179,04","5,67M","1,78%"
"27.01.2026","178,23","177,45","179,97","177,18","7,64M","1,67%"
"26.01.2026","175,30","176,36","176,60","174,41","6,87M","-0,23%"
"23.01.2026","175,70","173,16","177,30","172,35","9,63M","1,71%"
"22.01.2026","172,74","169,55","174,73","169,29","9,25M","2,24%"
"21.01.2026","168,95","164,96","168,95","164,93","6,04M","3,70%"
"20.01.2026","162,92","160,75","163,31","160,38","3,94M","0,61%"
"19.01.2026","161,94","161,51","162,08","161,14","3,19M","0,23%"
"16.01.2026","161,57","162,55","162,66","161,00","11,43M","-0,60%"
"15.01.2026","162,55","162,50","163,00","161,67","8,34M","0,19%"
"14.01.2026","162,24","159,97","162,24","158,83","6,97M","1,99%"
"13.01.2026","159,07","159,29","159,93","158,69","5,03M","-0,67%"
"12.01.2026","160,15","159,81","160,44","159,24","3,08M","0,03%"
"09.01.2026","160,10","159,50","161,10","159,50","2,64M","0,31%"
"08.01.2026","159,60","159,01","159,75","158,80","2,15M","0,50%"
"07.01.2026","158,80","159,96","160,24","158,66","3,35M","-0,87%"
"06.01.2026","160,20","160,15","161,07","160,15","3,43M","1,06%"
"05.01.2026","158,52","157,35","159,05","157,13","3,44M","0,74%"
"02.01.2026","157,36","158,83","159,11","157,04","2,70M","-0,41%"
"30.12.2025","158,00","158,30","159,00","157,96","4,16M","0,37%"
"29.12.2025","157,41","157,76","157,99","156,67","2,99M","-0,26%"
"26.12.2025","157,82","156,54","157,97","156,22","5,19M","0,25%"
"23.12.2025","157,43","155,82","157,43","155,82","4,21M","1,52%"
"22.12.2025","155,07","155,30","155,33","154,14","3,77M","-0,15%"
"19.12.2025","155,30","155,05","156,50","154,93","5,11M","0,28%"
"18.12.2025","154,86","154,13","155,44","154,01","6,54M","0,33%"
"17.12.2025","154,35","154,94","154,99","153,41","8,36M","-0,52%"
"16.12.2025","155,16","157,50","157,90","155,16","20,86M","-2,64%"
"15.12.2025","159,37","158,86","159,83","158,41","5,09M","1,19%"
"12.12.2025","157,50","156,61","158,12","156,19","3,43M","0,84%"
"11.12.2025","156,19","155,35","156,74","154,92","4,44M","0,12%"
"10.12.2025","156,00","155,20","156,57","154,43","4,23M","0,94%"
"09.12.2025","154,55","153,67","155,67","152,04","6,50M","-0,45%"
"08.12.2025","155,25","155,75","156,07","154,30","8,26M","0,69%"
"05.12.2025","154,18","161,29","161,74","153,73","12,01M","-4,41%"
"04.12.2025","161,29","159,10","161,38","159,09","8,66M","1,82%"
"03.12.2025","158,40","158,36","158,71","157,87","5,16M","0,27%"
"02.12.2025","157,97","155,60","157,97","155,57","5,85M","1,59%"
"01.12.2025","155,50","155,71","155,99","154,78","2,92M","-0,22%"
"28.11.2025","155,85","155,41","156,52","155,25","3,89M","0,34%"
"27.11.2025","155,32","155,21","155,55","154,96","2,59M","-0,27%"
"26.11.2025","155,74","153,21","155,74","153,09","6,62M","1,81%"
"25.11.2025","152,97","152,35","153,23","151,62","3,89M","0,41%"
"24.11.2025","152,35","151,63","152,77","151,40","8,83M","0,26%"
"21.11.2025","151,95","151,94","151,95","150,49","5,81M","-0,03%"
"19.11.2025","152,00","152,99","153,17","152,00","8,89M","-1,00%"
"18.11.2025","153,53","152,69","153,86","152,53","7,53M","-0,17%"
"17.11.2025","153,79","154,46","154,74","153,44","8,30M","-0,36%"
"14.11.2025","154,34","153,49","155,21","153,49","7,94M","0,16%"
"13.11.2025","154,10","154,15","155,15","153,43","4,16M","-0,22%"
"12.11.2025","154,44","154,89","154,89","153,48","4,35M","-0,23%"
"11.11.2025","154,80","152,77","155,31","152,77","8,33M","1,67%"
"10.11.2025","152,25","151,67","152,46","151,48","4,78M","0,96%"
"07.11.2025","150,80","149,68","150,94","149,26","3,51M","0,47%"
"06.11.2025","150,10","150,31","151,14","150,05","6,31M","-0,19%"
"05.11.2025","150,38","147,28","150,50","147,19","5,45M","1,93%"
"04.11.2025","147,53","146,90","147,76","146,81","3,06M","0,11%"
"03.11.2025","147,37","147,10","147,90","146,52","4,04M","0,66%"
"31.10.2025","146,41","146,19","146,75","145,79","7,14M","0,49%"
"30.10.2025","145,70","144,54","146,16","144,40","4,14M","0,28%"
"29.10.2025","145,30","144,93","146,01","144,93","7,81M","0,68%"
"28.10.2025","144,32","143,78","144,92","143,43","7,12M","0,22%"
"27.10.2025","144,00","144,48","144,95","143,70","2,76M","0,70%"
"24.10.2025","143,00","143,56","144,20","143,00","3,68M","0,22%"
"23.10.2025","142,68","142,94","143,22","142,03","11,30M","0,56%"
"22.10.2025","141,88","141,64","142,04","140,96","3,17M","0,50%"
"21.10.2025","141,17","141,20","141,80","140,81","1,99M","-0,07%"
"20.10.2025","141,27","140,80","142,15","140,36","5,15M","0,62%"
"17.10.2025","140,40","138,89","140,42","138,31","10,83M","0,89%"
"16.10.2025","139,16","138,75","140,18","138,57","14,63M","-0,24%"
"15.10.2025","139,49","138,41","140,00","138,31","4,59M","0,54%"
"14.10.2025","138,74","138,43","139,60","138,29","4,73M","-0,01%"
"13.10.2025","138,75","138,78","139,30","138,63","3,39M","0,68%"
"10.10.2025","137,81","139,26","139,45","137,30","6,75M","-0,68%"
"09.10.2025","138,75","139,86","140,26","138,66","3,84M","-0,32%"
"08.10.2025","139,20","138,84","139,43","138,73","3,41M","0,54%"
"07.10.2025","138,45","139,99","139,99","138,18","9,16M","-1,58%"
"06.10.2025","140,67","141,22","141,57","140,45","4,54M","-0,39%"
"03.10.2025","141,22","140,96","141,59","140,75","2,61M","0,16%"
"02.10.2025","140,99","142,60","142,69","140,70","5,21M","-1,07%"
"01.10.2025","142,52","143,80","143,93","142,27","3,49M","-0,50%"
"30.09.2025","143,24","144,11","144,55","142,84","3,47M","-0,15%"
"29.09.2025","143,45","144,21","144,64","143,25","4,04M","0,71%"
"26.09.2025","142,44","142,60","143,26","142,11","2,94M","0,11%"
"25.09.2025","142,28","143,24","143,49","142,20","5,37M","-0,79%"
"24.09.2025","143,42","143,50","143,78","143,05","2,32M","0,06%"
"23.09.2025","143,33","142,36","144,12","142,09","3,06M","0,94%"
"22.09.2025","141,99","141,96","142,37","141,10","3,14M","-0,56%"
"19.09.2025","142,79","142,85","143,33","142,43","3,74M","0,18%"
"18.09.2025","142,53","142,36","142,66","141,97","5,63M","-0,05%"
"17.09.2025","142,60","141,01","143,28","140,86","12,05M","1,06%"
"16.09.2025","141,11","141,04","141,63","140,56","9,93M","0,47%"
"15.09.2025","140,45","139,70","141,16","139,60","3,36M","0,89%"
"12.09.2025","139,21","139,21","140,23","139,21","4,22M","-0,54%"
"11.09.2025","139,96","139,61","140,91","139,42","4,50M","0,57%"
"10.09.2025","139,16","138,70","140,13","138,55","2,65M","0,40%"
"09.09.2025","138,60","139,05","139,26","138,60","6,04M","-0,14%"
"08.09.2025","138,80","139,86","139,86","138,36","2,53M","-0,61%"
"05.09.2025","139,65","139,16","140,40","138,87","6,90M","1,19%"
"04.09.2025","138,01","137,00","138,44","136,84","3,50M","0,83%"
"03.09.2025","136,87","137,27","137,58","136,65","2,48M","-0,36%"
"02.09.2025","137,37","136,88","138,15","136,61","5,17M","-0,67%"
"01.09.2025","138,29","138,70","139,00","137,83","3,68M","-0,15%"
"29.08.2025","138,50","138,00","139,38","138,00","8,91M","0,14%"
"28.08.2025","138,31","137,09","139,20","137,09","8,65M","1,55%"
"27.08.2025","136,20","134,93","136,35","134,52","4,39M","0,93%"
"26.08.2025","134,94","135,05","135,21","134,17","3,62M","-0,13%"
"25.08.2025","135,11","135,74","136,00","135,11","3,72M","-0,03%"
"22.08.2025","135,15","132,17","135,27","132,15","7,23M","2,67%"
"21.08.2025","131,63","131,06","132,10","131,00","1,97M","-0,13%"
"20.08.2025","131,80","131,40","132,13","131,22","1,97M","0,48%"
"19.08.2025","131,17","132,83","132,89","131,17","7,52M","-2,35%"
"18.08.2025","134,33","133,79","134,94","133,62","4,13M","0,58%"
"15.08.2025","133,56","133,22","133,57","132,69","10,22M","0,15%"
"14.08.2025","133,36","132,93","134,53","132,69","4,24M","-0,22%"
"13.08.2025","133,66","134,32","134,65","133,62","5,32M","-1,07%"
"12.08.2025","135,10","134,16","135,36","134,16","8,24M","1,96%"
"11.08.2025","132,50","132,53","133,29","132,45","3,22M","-0,31%"
"08.08.2025","132,91","133,36","133,60","132,58","4,35M","-0,46%"
"07.08.2025","133,52","132,11","133,95","132,11","8,33M","1,54%"
"06.08.2025","131,49","131,02","132,24","131,02","4,87M","1,02%"
"05.08.2025","130,16","129,96","131,28","129,78","2,81M","0,12%"
"04.08.2025","130,00","130,74","131,00","129,54","2,91M","0,33%"
"01.08.2025","129,57","131,61","131,87","129,20","3,67M","-0,24%"
"31.07.2025","129,88","129,37","130,53","129,08","4,02M","-0,80%"
"30.07.2025","130,93","129,02","132,20","128,96","6,11M","1,10%"
"29.07.2025","129,50","129,25","130,43","129,20","4,70M","0,19%"
"28.07.2025","129,25","130,50","130,72","128,70","3,94M","-0,92%"
"25.07.2025","130,45","130,99","131,20","130,30","3,62M","-0,25%"
"24.07.2025","130,78","131,57","131,57","130,69","3,85M","-1,22%"
"23.07.2025","132,39","130,90","132,76","130,65","3,03M","0,95%"
"22.07.2025","131,15","131,76","132,28","129,99","4,50M","-0,04%"
"21.07.2025","131,20","130,65","131,89","130,65","4,51M","0,69%"
"18.07.2025","130,30","131,28","132,19","130,30","6,60M","-1,64%"
"17.07.2025","132,47","132,67","132,78","132,01","3,40M","0,05%"
"16.07.2025","132,40","132,22","132,65","131,28","6,58M","0,02%"
"15.07.2025","132,37","132,78","132,97","131,35","5,71M","0,21%"
"14.07.2025","132,09","132,88","132,89","131,85","4,83M","-1,06%"
"11.07.2025","133,50","133,50","133,50","132,53","4,96M","-0,08%"
"10.07.2025","133,61","133,00","134,03","132,93","5,33M","-0,37%"
"09.07.2025","134,11","135,94","135,94","134,11","8,40M","-1,50%"
"08.07.2025","136,15","136,34","136,40","135,66","2,56M","-0,22%"
"07.07.2025","136,45","138,05","138,09","136,17","3,68M","-1,22%"
"04.07.2025","138,13","137,39","138,45","137,39","5,53M","0,15%"
"03.07.2025","137,92","136,45","138,15","136,09","3,87M","1,48%"
"02.07.2025","135,91","136,59","136,80","135,25","3,62M","-0,45%"
"01.07.2025","136,52","135,98","136,67","135,78","2,89M","0,49%"
"30.06.2025","135,85","133,56","136,04","133,41","4,66M","1,54%"
"27.06.2025","133,79","133,43","134,19","133,37","3,73M","-0,13%"
"26.06.2025","133,96","133,37","134,29","132,94","7,73M","1,06%"
"25.06.2025","132,55","133,24","133,53","132,52","6,65M","-1,13%"
"24.06.2025","134,07","133,54","135,06","133,14","6,93M","0,45%"
"23.06.2025","133,47","134,03","134,11","132,80","7,54M","-0,32%"
"20.06.2025","133,90","134,61","135,00","133,74","5,89M","-1,12%"
"18.06.2025","135,42","135,59","136,08","135,30","8,89M","-0,07%"
"17.06.2025","135,52","136,04","136,41","135,17","5,28M","-0,40%"
"16.06.2025","136,07","135,17","136,87","135,15","7,76M","1,55%"
"13.06.2025","133,99","134,00","134,60","133,40","6,90M","-0,50%"
"12.06.2025","134,66","133,14","134,85","133,03","3,00M","0,52%"
"11.06.2025","133,97","133,00","134,43","132,51","4,99M","0,46%"
"10.06.2025","133,35","133,68","134,32","133,00","5,71M","0,47%"
"09.06.2025","132,73","132,61","132,94","131,07","5,27M","-0,25%"
"06.06.2025","133,06","133,47","133,86","132,49","8,30M","-0,14%"
"05.06.2025","133,25","134,11","134,40","132,91","4,91M","-0,42%"
"04.06.2025","133,81","135,01","135,64","133,63","4,94M","-0,44%"
