"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"22.05.2026","423,10","420,52","424,99","420,52","91,19K","0,80%"
"21.05.2026","419,75","418,84","420,00","417,18","53,90K","0,18%"
"20.05.2026","419,00","419,00","420,97","417,86","111,71K","0,32%"
"19.05.2026","417,65","418,10","419,97","416,31","77,44K","0,10%"
"18.05.2026","417,25","421,72","421,75","415,53","99,31K","-1,25%"
"15.05.2026","422,55","421,99","425,37","421,46","134,81K","0,27%"
"14.05.2026","421,40","419,99","422,22","417,00","106,02K","0,33%"
"13.05.2026","420,00","408,38","421,23","408,11","236,19K","2,99%"
"12.05.2026","407,80","408,37","408,40","405,17","104,86K","-0,27%"
"11.05.2026","408,90","407,90","409,99","407,11","94,85K","0,27%"
"08.05.2026","407,80","407,56","408,47","405,87","124,14K","0,24%"
"07.05.2026","406,81","408,39","409,44","406,14","89,67K","-0,41%"
"06.05.2026","408,50","404,51","408,50","404,50","102,20K","1,67%"
"05.05.2026","401,80","403,00","403,30","401,32","109,81K","-0,19%"
"04.05.2026","402,55","403,00","404,00","401,53","161,60K","0,01%"
"30.04.2026","402,50","403,05","404,10","400,55","141,73K","0,25%"
"29.04.2026","401,49","401,70","402,74","400,57","204,90K","0,33%"
"28.04.2026","400,15","401,69","402,60","399,20","163,46K","-0,49%"
"27.04.2026","402,14","401,93","402,96","400,01","65,24K","-0,21%"
"24.04.2026","403,00","401,30","404,29","401,30","252,83K","0,61%"
"23.04.2026","400,55","398,00","401,21","396,15","219,56K","0,31%"
"22.04.2026","399,33","399,23","401,17","397,28","131,83K","0,31%"
"20.04.2026","398,10","398,89","399,93","397,82","78,29K","-0,35%"
"17.04.2026","399,50","396,00","401,61","395,52","141,26K","0,92%"
"16.04.2026","395,85","395,91","397,45","394,76","76,96K","0,23%"
"15.04.2026","394,95","392,40","394,95","391,21","171,34K","0,93%"
"14.04.2026","391,30","388,40","392,00","387,10","96,37K","0,94%"
"13.04.2026","387,65","385,00","387,65","383,19","230,93K","0,77%"
"10.04.2026","384,70","387,50","387,50","384,21","151,33K","-1,00%"
"09.04.2026","388,57","389,84","390,23","387,01","149,99K","-0,33%"
"08.04.2026","389,85","387,77","390,00","387,66","186,47K","1,53%"
"07.04.2026","383,96","383,50","383,96","380,40","127,83K","0,12%"
"06.04.2026","383,50","383,60","383,75","381,75","250,22K","0,40%"
"02.04.2026","381,97","378,97","382,54","377,01","94,00K","0,15%"
"01.04.2026","381,41","382,36","383,65","381,01","116,18K","0,33%"
"31.03.2026","380,15","377,45","381,51","376,53","215,58K","1,49%"
"30.03.2026","374,57","377,93","378,89","374,25","137,92K","-0,19%"
"27.03.2026","375,30","381,32","381,53","375,16","265,53K","-2,13%"
"26.03.2026","383,45","386,50","387,00","382,78","113,51K","-0,99%"
"25.03.2026","387,30","389,03","390,49","386,81","185,37K","-0,07%"
"24.03.2026","387,56","388,00","389,99","387,03","143,50K","-0,11%"
"23.03.2026","388,00","392,80","392,86","387,70","190,25K","-0,37%"
"20.03.2026","389,45","389,34","391,48","388,21","253,76K","0,39%"
"19.03.2026","387,92","391,97","393,00","387,72","230,72K","-0,81%"
"18.03.2026","391,10","393,28","393,75","390,13","167,22K","-0,52%"
"17.03.2026","393,15","394,50","395,58","392,16","312,56K","-0,46%"
"16.03.2026","394,95","397,89","398,81","394,41","162,97K","-0,59%"
"13.03.2026","397,30","394,84","398,19","393,95","165,85K","0,85%"
"12.03.2026","393,95","393,50","394,98","391,00","246,73K","0,17%"
"11.03.2026","393,30","395,57","395,57","392,00","139,78K","-0,14%"
"10.03.2026","393,85","395,57","396,50","393,76","140,71K","-0,39%"
"09.03.2026","395,40","394,50","395,74","390,05","179,69K","-0,62%"
"06.03.2026","397,87","403,90","404,70","396,76","157,85K","-1,72%"
"05.03.2026","404,85","404,40","405,30","400,88","189,02K","0,11%"
"04.03.2026","404,40","401,50","404,65","399,90","136,96K","-0,01%"
"03.03.2026","404,45","400,35","405,05","399,51","206,81K","1,02%"
"02.03.2026","400,35","398,39","402,00","397,12","263,86K","0,91%"
"27.02.2026","396,75","399,52","400,90","395,65","101,28K","-0,69%"
"26.02.2026","399,52","400,90","402,83","397,89","101,16K","-0,31%"
"25.02.2026","400,75","399,38","420,73","397,06","216,94K","0,29%"
"24.02.2026","399,60","398,49","400,06","397,00","293,57K","0,44%"
"23.02.2026","397,85","402,20","402,20","396,44","140,21K","-1,25%"
"20.02.2026","402,90","402,70","403,41","400,58","188,75K","0,05%"
"19.02.2026","402,70","405,00","405,00","401,00","157,81K","-0,63%"
"18.02.2026","405,25","403,00","407,05","402,71","107,73K","0,93%"
"13.02.2026","401,52","400,26","404,93","399,74","127,87K","0,32%"
"12.02.2026","400,25","406,00","406,50","400,00","170,07K","-1,04%"
"11.02.2026","404,45","405,75","408,21","403,53","105,01K","-0,32%"
"10.02.2026","405,75","407,15","409,60","405,75","99,80K","-0,14%"
"09.02.2026","406,30","405,98","407,79","404,21","82,31K","-0,05%"
"06.02.2026","406,50","402,92","407,79","401,10","101,72K","0,89%"
"05.02.2026","402,92","406,10","406,50","401,37","190,18K","-0,83%"
"04.02.2026","406,29","407,84","409,00","404,60","133,35K","-0,38%"
"03.02.2026","407,85","412,20","412,20","404,93","179,10K","-1,06%"
"02.02.2026","412,20","409,10","414,00","408,11","132,26K","0,38%"
"30.01.2026","410,65","407,79","411,19","407,00","168,01K","1,05%"
"29.01.2026","406,40","407,75","408,96","403,15","256,28K","-0,26%"
"28.01.2026","407,47","407,99","409,78","406,23","150,31K","0,12%"
"27.01.2026","407,00","412,49","412,49","406,80","196,55K","-1,38%"
"26.01.2026","412,70","411,55","413,89","409,83","214,96K","0,28%"
"23.01.2026","411,55","410,50","412,81","410,30","189,79K","0,03%"
"22.01.2026","411,44","413,11","415,10","410,10","455,09K","0,01%"
"21.01.2026","411,40","409,99","419,98","407,79","224,69K","-0,03%"
"20.01.2026","411,52","416,00","416,00","410,73","220,12K","-1,55%"
"19.01.2026","418,00","418,98","418,99","414,01","133,59K","-0,27%"
"16.01.2026","419,15","420,35","421,97","419,05","68,34K","-0,02%"
"15.01.2026","419,25","420,60","422,80","418,71","79,99K","-0,10%"
"14.01.2026","419,67","419,00","422,40","416,64","168,22K","-0,22%"
"13.01.2026","420,60","422,00","422,71","418,51","85,57K","-0,29%"
"12.01.2026","421,84","419,35","421,94","418,00","77,96K","0,31%"
"09.01.2026","420,55","419,80","421,00","417,68","243,80K","0,35%"
"08.01.2026","419,07","418,99","420,18","418,00","64,86K","-0,03%"
"07.01.2026","419,20","420,49","422,50","419,15","54,07K","-0,07%"
"06.01.2026","419,50","420,00","420,50","416,96","208,88K","0,02%"
"05.01.2026","419,42","420,98","422,50","418,97","114,78K","-0,02%"
"02.01.2026","419,50","423,77","423,77","416,21","161,75K","-1,11%"
"30.12.2025","424,20","429,99","430,73","424,20","220,02K","-2,05%"
"29.12.2025","433,08","432,00","433,61","431,40","145,90K","0,32%"
"26.12.2025","431,70","432,30","432,93","429,75","148,65K","0,51%"
"23.12.2025","429,50","431,65","431,88","428,00","85,60K","-0,61%"
"22.12.2025","432,15","425,80","433,20","424,94","176,20K","1,47%"
"19.12.2025","425,90","421,04","425,90","420,19","100,62K","1,28%"
"18.12.2025","420,50","420,12","422,68","418,01","96,20K","0,80%"
"17.12.2025","417,17","418,51","421,85","416,00","111,31K","-0,20%"
"16.12.2025","418,00","415,80","418,44","414,72","160,48K","0,54%"
"15.12.2025","415,75","415,90","416,71","414,00","93,18K","-0,24%"
"12.12.2025","416,76","419,50","419,82","414,27","102,26K","-0,74%"
"11.12.2025","419,85","420,50","421,60","416,51","114,83K","-1,01%"
"10.12.2025","424,15","418,81","424,90","418,26","116,65K","1,31%"
"09.12.2025","418,65","421,00","422,39","417,50","256,54K","-0,04%"
"08.12.2025","418,82","419,60","421,71","415,70","191,79K","-0,61%"
"05.12.2025","421,40","409,60","423,66","409,19","265,12K","2,82%"
"04.12.2025","409,85","409,31","409,95","406,73","89,17K","0,13%"
"03.12.2025","409,31","409,35","410,37","406,30","104,65K","-0,01%"
"02.12.2025","409,35","411,24","411,79","408,84","77,25K","-0,34%"
"01.12.2025","410,75","409,50","412,43","408,71","67,56K","-0,08%"
"28.11.2025","411,09","411,02","411,90","408,65","71,10K","0,17%"
"27.11.2025","410,40","408,75","412,16","408,75","61,22K","0,43%"
