"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"22.05.2026","5,0374","5,0052","5,0376","4,9969","","0,67%"
"21.05.2026","5,0039","4,9993","5,0255","4,9830","","0,10%"
"20.05.2026","4,9988","5,0484","5,0585","4,9966","","-0,97%"
"19.05.2026","5,0479","4,9906","5,0586","4,9867","","1,15%"
"18.05.2026","4,9907","5,0556","5,0619","4,9889","","-1,29%"
"15.05.2026","5,0560","4,9811","5,0832","4,9805","","1,51%"
"14.05.2026","4,9808","5,0112","5,0299","4,9715","","-0,60%"
"13.05.2026","5,0109","4,8939","5,0185","4,8901","","2,40%"
"12.05.2026","4,8934","4,8911","4,9160","4,8861","","0,05%"
"11.05.2026","4,8909","4,8957","4,9053","4,8854","","-0,06%"
"08.05.2026","4,8937","4,9238","4,9304","4,8879","","-0,63%"
"07.05.2026","4,9245","4,9237","4,9317","4,8953","","0,02%"
"06.05.2026","4,9234","4,9106","4,9353","4,8854","","0,25%"
"05.05.2026","4,9110","4,9620","4,9649","4,9055","","-1,04%"
"04.05.2026","4,9628","4,9583","4,9829","4,9465","","0,13%"
"01.05.2026","4,9563","4,9544","4,9589","4,9494","","0,03%"
"30.04.2026","4,9546","4,9972","5,0020","4,9506","","-0,84%"
"29.04.2026","4,9968","4,9755","5,0136","4,9731","","0,44%"
"28.04.2026","4,9751","4,9830","5,0163","4,9720","","-0,16%"
"27.04.2026","4,9833","4,9771","4,9844","4,9637","","0,06%"
"24.04.2026","4,9802","5,0215","5,0266","4,9777","","-0,81%"
"23.04.2026","5,0211","4,9632","5,0235","4,9395","","1,17%"
"22.04.2026","4,9630","4,9655","4,9904","4,9546","","0,18%"
"21.04.2026","4,9539","4,9539","4,9539","4,9539","","-0,25%"
"20.04.2026","4,9664","4,9772","4,9916","4,9645","","-0,25%"
"17.04.2026","4,9786","4,9931","4,9944","4,9504","","-0,28%"
"16.04.2026","4,9925","4,9934","5,0147","4,9850","","-0,02%"
"15.04.2026","4,9936","4,9884","5,0028","4,9839","","0,11%"
"14.04.2026","4,9879","4,9961","4,9971","4,9707","","-0,17%"
"13.04.2026","4,9963","5,0271","5,0404","4,9814","","-0,15%"
"10.04.2026","5,0040","5,0575","5,0672","5,0032","","-1,06%"
"09.04.2026","5,0576","5,1008","5,1067","5,0571","","-0,82%"
"08.04.2026","5,0992","5,1539","5,1554","5,0651","","-1,06%"
"07.04.2026","5,1539","5,1446","5,1734","5,1362","","0,26%"
"06.04.2026","5,1403","5,1594","5,1641","5,1389","","-0,33%"
"03.04.2026","5,1572","5,1572","5,1574","5,1533","","-0,01%"
"02.04.2026","5,1578","5,1548","5,1956","5,1398","","0,05%"
"01.04.2026","5,1551","5,1823","5,1829","5,1476","","-0,52%"
"31.03.2026","5,1819","5,2514","5,2543","5,1769","","-1,35%"
"30.03.2026","5,2526","5,2354","5,2672","5,2233","","0,26%"
"27.03.2026","5,2388","5,2403","5,2801","5,2176","","-0,03%"
"26.03.2026","5,2406","5,2273","5,2635","5,2183","","0,25%"
"25.03.2026","5,2276","5,2338","5,2489","5,2042","","-0,12%"
"24.03.2026","5,2337","5,2353","5,2804","5,2125","","-0,01%"
"23.03.2026","5,2344","5,3159","5,3159","5,2146","","-1,50%"
"20.03.2026","5,3141","5,2202","5,3263","5,2184","","1,79%"
"19.03.2026","5,2206","5,2680","5,3149","5,2018","","-0,90%"
"18.03.2026","5,2678","5,1937","5,2695","5,1826","","1,44%"
"17.03.2026","5,1929","5,2315","5,2423","5,1769","","-0,74%"
"16.03.2026","5,2315","5,3237","5,3237","5,2252","","-1,73%"
"13.03.2026","5,3237","5,2443","5,3261","5,2149","","1,51%"
"12.03.2026","5,2444","5,1574","5,2511","5,1559","","1,69%"
"11.03.2026","5,1574","5,1602","5,1832","5,1467","","-0,05%"
"10.03.2026","5,1602","5,1601","5,1872","5,1319","","-0,01%"
"09.03.2026","5,1607","5,2806","5,2860","5,1570","","-1,60%"
"06.03.2026","5,2445","5,3111","5,3218","5,2301","","-0,38%"
"05.03.2026","5,2644","5,2480","5,2942","5,2275","","0,63%"
"04.03.2026","5,2317","5,2813","5,2813","5,1930","","-0,87%"
"03.03.2026","5,2775","5,1717","5,3440","5,1715","","2,05%"
"02.03.2026","5,1717","5,1293","5,2146","5,1293","","0,80%"
"27.02.2026","5,1305","5,1404","5,1708","5,1154","","-0,14%"
"26.02.2026","5,1375","5,1288","5,1659","5,1212","","0,24%"
"25.02.2026","5,1251","5,1525","5,1671","5,1180","","-0,56%"
"24.02.2026","5,1540","5,1738","5,1851","5,1422","","-0,35%"
"23.02.2026","5,1723","5,1768","5,1911","5,1386","","-0,09%"
"20.02.2026","5,1768","5,2132","5,2239","5,1719","","-0,65%"
"19.02.2026","5,2109","5,2361","5,2531","5,2097","","-0,48%"
"18.02.2026","5,2359","5,2231","5,2501","5,1929","","0,25%"
"17.02.2026","5,2231","5,2253","5,2253","5,2229","","-0,02%"
"16.02.2026","5,2244","5,2244","5,2246","5,2242","","0,09%"
"13.02.2026","5,2196","5,2125","5,2497","5,2029","","0,15%"
"12.02.2026","5,2120","5,1836","5,2158","5,1539","","0,55%"
"11.02.2026","5,1836","5,1972","5,2039","5,1691","","-0,17%"
"10.02.2026","5,1925","5,1935","5,2128","5,1838","","-0,02%"
"09.02.2026","5,1935","5,2171","5,2197","5,1743","","-0,45%"
"06.02.2026","5,2171","5,2716","5,2727","5,2049","","-1,06%"
"05.02.2026","5,2728","5,2395","5,2886","5,2346","","0,64%"
"04.02.2026","5,2395","5,2392","5,2649","5,2164","","0,01%"
"03.02.2026","5,2392","5,2608","5,2630","5,2064","","-0,41%"
