date,open,high,low,close,volume
2013-01-02,3.651,3.759,3.644,3.736,48420.0
2013-01-03,3.7315,3.759,3.69,3.717,44090.0
2013-01-04,3.6935,3.707,3.671,3.6935,45820.0
2013-01-06,3.684,3.69,3.671,3.679,290.0
2013-01-07,3.7035,3.7135,3.6525,3.678,39010.0
2013-01-08,3.684,3.6915,3.66,3.672,37410.0
2013-01-09,3.6795,3.7075,3.6645,3.6705,40260.0
2013-01-10,3.671,3.718,3.666,3.709,42880.0
2013-01-11,3.7135,3.718,3.652,3.654,45930.0
2013-01-13,3.671,3.675,3.643,3.639,170.0
2013-01-14,3.6595,3.689,3.633,3.634,50250.0
2013-01-15,3.6445,3.651,3.606,3.6375,53060.0
2013-01-16,3.6395,3.6455,3.5995,3.6065,44580.0
2013-01-17,3.617,3.667,3.601,3.662,54300.0
2013-01-18,3.6585,3.6975,3.655,3.679,40570.0
2013-01-20,3.66,3.678,3.652,3.663,140.0
2013-01-22,3.684,3.7075,3.662,3.705,55090.0
2013-01-23,3.705,3.7115,3.6765,3.6845,40040.0
2013-01-24,3.6725,3.6965,3.661,3.6765,40550.0
2013-01-25,3.6725,3.6995,3.6405,3.652,47930.0
2013-01-27,3.665,3.665,3.634,3.639,190.0
2013-01-28,3.656,3.677,3.6445,3.6615,38170.0
2013-01-29,3.6585,3.694,3.6525,3.6915,49610.0
2013-01-30,3.7095,3.762,3.708,3.758,440.0
2013-01-31,3.7555,3.7755,3.7345,3.7395,190.0
2013-02-01,3.735,3.7895,3.7345,3.7915,180.0
2013-02-03,3.731,3.776,3.731,3.776,110.0
2013-02-04,3.7925,3.7925,3.7735,3.7755,120.0
2013-02-05,3.7765,3.788,3.774,3.7775,290.0
2013-02-06,3.775,3.775,3.7465,3.7485,140.0
2013-02-07,3.752,3.752,3.735,3.736,240.0
2013-02-08,3.755,3.7765,3.755,3.7685,140.0
2013-02-11,3.759,3.7595,3.725,3.7315,80.0
2013-02-12,3.7285,3.753,3.723,3.753,150.0
2013-02-13,3.756,3.7645,3.7415,3.7515,320.0
2013-02-14,3.7485,3.7575,3.739,3.7455,120.0
2013-02-15,3.749,3.7535,3.733,3.746,380.0
