date,open,high,low,close,volume
2013-01-02,79.62,80.03,79.46,79.948,18900.0
2013-01-03,79.93,80.595,79.92,80.515,33630.0
2013-01-04,80.77,80.995,80.52,80.61,40390.0
2013-01-07,80.61,80.8,80.335,80.369,36590.0
2013-01-08,80.31,80.57,80.22,80.445,15520.0
2013-01-09,80.51,80.75,80.45,80.677,27720.0
2013-01-10,80.75,80.79,79.745,79.817,38460.0
2013-01-11,79.86,79.93,79.49,79.611,30220.0
2013-01-14,79.535,79.71,79.405,79.54,25940.0
2013-01-15,79.54,79.94,79.435,79.832,33210.0
2013-01-16,79.765,79.95,79.66,79.854,21230.0
2013-01-17,79.8,79.95,79.615,79.711,25250.0
2013-01-18,79.76,80.275,79.71,80.116,26100.0
2013-01-21,80.16,80.185,79.995,80.116,9900.0
2013-01-22,80.185,80.19,79.785,79.973,24740.0
2013-01-23,79.94,80.22,79.765,79.99,18760.0
2013-01-24,80.05,80.225,79.925,80.007,18940.0
2013-01-25,80.08,80.175,79.745,79.82,28050.0
2013-01-28,79.84,79.995,79.785,79.868,19550.0
2013-01-29,79.85,79.935,79.575,79.624,21060.0
2013-01-30,79.625,79.665,79.21,79.326,35290.0
2013-01-31,79.275,79.4,79.16,79.226,30050.0
2013-02-01,79.14,79.325,78.915,79.135,43790.0
2013-02-04,79.175,79.64,79.17,79.573,27260.0
2013-02-05,79.65,79.815,79.49,79.533,31430.0
2013-02-06,79.555,79.93,79.53,79.767,25290.0
2013-02-07,79.805,80.345,79.58,80.257,46430.0
2013-02-08,80.3,80.35,80.01,80.316,25100.0
2013-02-11,80.275,80.475,80.17,80.389,29300.0
2013-02-12,80.415,80.59,79.99,80.163,27870.0
2013-02-13,80.1,80.255,79.915,80.167,28470.0
2013-02-14,80.18,80.71,80.145,80.538,34170.0
2013-02-15,80.48,80.675,80.305,80.576,19400.0
2013-02-18,80.7,80.83,80.605,80.576,9340.0
2013-02-19,80.745,80.765,80.505,80.545,15640.0
2013-02-20,80.46,81.23,80.35,81.155,40940.0
2013-02-21,81.175,81.625,81.125,81.551,39690.0
2013-02-22,81.485,81.7,81.26,81.585,33310.0
2013-02-25,81.705,82.005,81.165,81.777,50840.0
2013-02-26,81.93,82.035,81.63,81.94,46510.0
2013-02-27,81.94,81.985,81.555,81.672,38850.0
2013-02-28,81.605,82.075,81.535,82.003,27990.0
2013-03-01,82.01,82.58,81.85,82.358,34830.0
2013-03-04,82.355,82.53,82.23,82.255,19760.0
2013-03-05,82.21,82.3,81.955,82.147,25020.0
2013-03-06,82.02,82.64,81.975,82.507,26040.0
2013-03-07,82.615,82.62,81.995,82.123,35170.0
2013-03-08,82.165,82.945,82.105,82.731,39050.0
2013-03-11,82.76,82.885,82.53,82.58,31260.0
2013-03-12,82.675,82.815,82.425,82.595,30030.0
2013-03-13,82.575,83.07,82.35,82.902,50330.0
2013-03-14,82.915,83.18,82.44,82.623,36800.0
2013-03-15,82.53,82.605,82.06,82.256,15350.0
2013-03-18,82.68,82.83,82.545,82.574,680.0
2013-03-19,82.935,83.315,82.83,83.211,32720.0
2013-03-20,83.24,83.245,82.725,82.948,30490.0
2013-03-21,83.0,83.185,82.835,82.905,22590.0
2013-03-22,82.96,82.985,82.435,82.529,27120.0
2013-03-25,82.61,83.11,81.83,82.995,30090.0
2013-03-26,83.02,83.165,82.88,83.048,19340.0
2013-03-27,83.04,83.52,83.01,83.411,28790.0
2013-03-28,83.42,83.46,83.02,83.175,20730.0
2013-04-01,83.175,83.365,82.81,82.899,12020.0
2013-04-02,82.87,83.13,82.645,83.092,16800.0
2013-04-03,83.075,83.245,82.77,82.861,20050.0
2013-04-04,82.84,83.66,82.74,82.795,43460.0
2013-04-05,82.88,83.01,82.31,82.603,30710.0
2013-04-08,82.75,82.955,82.605,82.869,19370.0
2013-04-09,82.78,82.82,82.375,82.414,21870.0
2013-04-10,82.485,82.675,82.32,82.634,24750.0
2013-04-11,82.65,82.68,82.14,82.325,27950.0
