date,open,high,low,close,volume
2014-04-30,41.96,42.3,41.96,41.96,10.0
2014-05-02,42.16,42.16,42.1,42.11,4080.0
2014-05-05,41.92,41.92,41.92,41.92,120.0
2014-05-06,42.29,42.29,41.98,41.98,950.0
2014-05-07,41.88,42.01,41.88,41.97,2210.0
2014-05-08,41.74,41.74,41.74,41.74,4000.0
2014-05-09,42.0,42.0,41.9,42.0,43840.0
2014-05-12,42.36,42.39,42.36,42.39,500.0
2014-05-13,42.38,42.38,42.31,42.31,450.0
2014-05-14,42.3,42.3,42.11,42.11,500.0
2014-05-15,41.85,41.93,41.85,41.93,26400.0
2014-05-16,41.81,41.83,41.74,41.83,19270.0
2014-05-19,41.96,42.02,41.96,42.02,4650.0
2014-05-20,42.0,42.01,41.82,41.89,9310.0
2014-05-21,42.07,42.09,42.07,42.09,17480.0
2014-05-22,42.41,42.42,42.41,42.42,26000.0
2014-05-23,42.51,42.65,42.45,42.65,13920.0
2014-05-26,42.61,42.61,42.61,42.61,10.0
2014-05-27,43.03,43.22,43.03,43.19,6790.0
2014-05-28,43.22,43.23,43.22,43.23,4230.0
2014-05-29,42.92,43.11,42.9,43.11,21890.0
2014-05-30,43.82,43.83,43.72,43.77,132800.0
2014-06-02,43.83,44.19,43.8,44.19,2680.0
2014-06-03,43.94,44.28,43.94,44.28,5960.0
2014-06-04,44.42,44.52,44.37,44.38,10920.0
2014-06-05,44.21,44.49,44.21,44.3,42120.0
2014-06-06,44.25,44.25,44.07,44.2,3610.0
2014-06-09,43.94,43.96,43.86,43.94,43370.0
2014-06-10,43.91,43.91,43.86,43.86,600.0
2014-06-11,43.82,43.86,43.78,43.84,146660.0
2014-06-13,43.52,43.62,43.52,43.6,6550.0
2014-06-16,43.6,43.6,43.6,43.6,10.0
2014-06-17,44.13,44.13,44.13,44.13,20.0
2014-06-18,44.12,44.13,44.03,44.03,51740.0
2014-06-23,44.03,44.03,43.96,43.96,120.0
2014-06-24,44.1,44.1,43.91,43.93,4590.0
2014-06-25,43.55,43.64,43.53,43.64,27730.0
2014-06-26,43.64,43.64,43.4,43.4,37450.0
2014-06-27,43.47,43.47,43.42,43.42,9400.0
2014-06-30,43.75,43.76,43.7,43.7,12890.0
2014-07-01,44.41,44.41,43.82,43.9,11350.0
2014-07-02,44.09,44.33,44.09,44.33,10520.0
2014-07-03,44.57,44.58,44.37,44.37,1200.0
2014-07-04,44.39,44.39,44.39,44.39,100.0
2014-07-07,44.31,44.4,44.3,44.4,10000.0
2014-07-10,44.03,44.03,44.03,44.03,70.0
2014-07-11,44.06,44.06,44.06,44.06,40.0
2014-07-14,44.25,44.26,44.15,44.15,13710.0
2014-07-15,45.13,45.13,44.3,44.3,220.0
2014-07-16,44.5,44.56,44.47,44.47,3640.0
2014-07-17,44.65,44.65,44.65,44.65,160.0
2014-07-18,44.56,44.56,44.46,44.51,410.0
2014-07-21,44.19,44.19,44.19,44.19,20.0
2014-07-22,44.33,44.35,44.3,44.3,5000.0
2014-07-23,44.6,44.6,44.58,44.58,30.0
