date,open,high,low,close,volume
2008-12-03,34.73,35.4,33.9,35.31,330160.0
2008-12-04,35.8,36.0,35.15,35.7,128400.0
2008-12-05,34.51,35.35,34.11,35.35,193700.0
2008-12-08,37.35,38.46,36.95,38.46,103100.0
2008-12-09,38.58,38.82,37.54,37.54,274500.0
2008-12-10,38.95,39.68,38.61,39.03,241100.0
2008-12-11,39.37,39.83,38.66,38.89,164200.0
2008-12-12,37.35,39.28,37.0,39.11,64500.0
2008-12-15,39.31,39.73,38.37,38.57,79950.0
2008-12-16,39.37,40.0,39.26,40.0,593400.0
2008-12-17,39.9,40.25,39.2,39.21,150200.0
2008-12-18,40.31,40.49,39.15,39.15,158000.0
2008-12-19,38.95,39.84,38.84,39.13,708300.0
2008-12-22,39.49,39.49,37.62,37.75,360350.0
2008-12-23,38.06,38.07,36.43,36.56,171700.0
2008-12-26,37.02,37.11,36.46,36.9,33200.0
2008-12-29,37.48,37.48,36.68,36.79,65300.0
2008-12-30,37.53,37.69,37.07,37.64,85500.0
2009-01-02,38.28,40.32,37.94,40.32,119900.0
2009-01-05,40.2,42.0,39.7,42.0,341700.0
2009-01-06,42.06,42.32,41.55,42.32,178320.0
2009-01-07,41.75,41.77,40.45,40.64,73420.0
2009-01-08,40.15,42.2,40.15,42.2,195370.0
2009-01-09,41.98,42.47,41.16,42.0,271900.0
2009-01-12,40.71,40.75,39.38,39.7,37720.0
2009-01-13,38.76,40.26,38.54,40.0,177310.0
2009-01-14,39.4,39.47,37.7,38.03,205570.0
2009-01-15,37.89,39.36,36.93,39.36,120500.0
2009-01-16,39.68,39.84,38.66,39.49,177720.0
2009-01-19,39.71,39.83,38.62,38.95,324730.0
2009-01-20,38.51,39.06,37.35,38.99,19400.0
2009-01-21,37.95,38.85,37.37,38.85,32900.0
2009-01-22,38.8,38.8,37.4,38.24,417660.0
2009-01-23,37.01,38.43,36.8,38.08,118520.0
2009-01-26,38.06,39.5,37.91,39.0,77700.0
2009-01-27,38.51,38.99,38.32,38.99,49400.0
2009-01-28,39.37,40.9,39.37,40.9,37400.0
2009-01-29,39.74,40.81,39.37,39.6,363530.0
2009-01-30,39.27,40.2,39.27,39.6,126470.0
2009-02-02,38.68,39.3,38.5,39.0,7870.0
2009-02-03,38.69,40.0,38.69,40.0,162400.0
2009-02-04,40.08,41.35,39.94,40.4,114100.0
2009-02-05,40.36,41.5,39.72,41.5,9000.0
2009-02-06,41.63,43.2,41.6,43.2,294570.0
2009-02-09,42.71,43.29,41.92,42.0,138290.0
2009-02-10,42.35,42.72,40.96,41.34,118230.0
2009-02-11,41.37,41.86,40.32,41.0,48700.0
2009-02-12,40.3,40.95,39.93,40.79,76810.0
2009-02-13,41.87,41.87,41.04,41.85,4400.0
2009-02-16,41.16,41.99,40.9,41.99,33250.0
2009-02-17,40.32,40.75,39.74,40.0,93540.0
2009-02-18,40.2,40.35,39.11,39.99,74830.0
2009-02-19,40.0,40.26,39.66,40.0,20240.0
