date,open,high,low,close,volume
2013-01-02,1432.63,1433.0,1386.38,1393.13,
2013-01-03,1393.13,1395.63,1372.63,1391.25,
2013-01-04,1391.38,1397.13,1356.13,1365.75,
2013-01-06,1367.13,1367.25,1357.63,1363.25,
2013-01-07,1363.38,1392.63,1360.63,1390.63,
2013-01-08,1390.5,1393.63,1376.88,1384.38,
2013-01-09,1384.5,1392.88,1380.38,1387.25,
2013-01-10,1387.38,1394.38,1373.13,1376.5,
2013-01-11,1376.38,1381.38,1352.63,1375.88,
2013-01-13,1377.0,1387.13,1377.0,1386.25,
2013-01-14,1386.5,1422.88,1384.75,1417.88,
2013-01-15,1417.63,1435.63,1408.13,1415.88,
2013-01-16,1416.25,1439.38,1414.5,1438.88,
2013-01-17,1438.75,1447.88,1422.88,1436.88,
2013-01-18,1436.63,1438.38,1421.13,1428.38,
2013-01-20,1428.38,1428.38,1428.38,1428.38,
2013-01-22,1440.38,1460.63,1436.13,1448.63,
2013-01-23,1448.75,1457.63,1430.38,1431.38,
2013-01-24,1431.5,1441.75,1415.13,1439.0,
2013-01-25,1439.13,1444.75,1426.13,1440.63,
2013-01-27,1446.38,1451.88,1446.13,1451.13,
2013-01-28,1451.38,1452.38,1434.88,1445.38,
2013-01-29,1445.13,1457.88,1441.13,1450.13,
2013-01-30,1450.38,1481.63,1447.13,1478.0,
2013-01-31,1477.88,1484.0,1455.88,1470.63,
2013-02-01,1470.88,1486.38,1463.88,1476.13,
2013-02-03,1483.38,1484.88,1478.5,1481.38,
2013-02-04,1481.13,1497.88,1475.63,1489.13,
2013-02-05,1488.88,1496.13,1478.13,1493.0,
2013-02-06,1493.13,1493.75,1477.13,1486.0,
2013-02-07,1486.13,1496.88,1478.13,1486.13,
2013-02-08,1486.38,1494.63,1451.88,1453.38,
2013-02-10,1449.88,1449.88,1432.38,1440.88,
2013-02-11,1441.38,1442.13,1429.38,1433.5,
2013-02-12,1433.38,1438.38,1417.13,1426.0,
2013-02-13,1425.88,1428.63,1404.63,1425.88,
2013-02-14,1425.75,1428.63,1406.25,1421.0,
2013-02-15,1421.25,1427.63,1415.13,1425.5,
2013-02-19,1434.13,1473.88,1433.88,1471.13,
2013-02-20,1471.0,1491.75,1469.38,1479.25,
2013-02-21,1479.38,1494.13,1470.75,1490.13,
2013-02-22,1490.0,1516.38,1459.88,1459.88,
2013-02-24,1443.0,1446.13,1435.38,1444.88,
2013-02-25,1444.63,1452.88,1421.63,1434.75,
2013-02-26,1434.88,1442.5,1420.63,1435.88,
2013-02-27,1435.75,1448.38,1425.13,1439.38,
2013-02-28,1439.5,1467.25,1434.13,1448.75,
2013-03-01,1449.0,1457.63,1433.38,1444.5,
2013-03-03,1441.5,1446.75,1440.63,1444.13,
2013-03-04,1444.25,1464.38,1434.38,1462.88,
2013-03-05,1463.5,1481.5,1459.13,1466.38,
2013-03-06,1466.5,1474.88,1455.88,1462.75,
2013-03-07,1462.5,1474.5,1460.88,1472.13,
2013-03-08,1472.25,1484.13,1450.5,1472.63,
2013-03-10,1474.5,1483.88,1474.5,1477.38,
2013-03-11,1477.5,1482.88,1467.88,1478.38,
2013-03-12,1478.25,1480.75,1465.13,1468.38,
2013-03-13,1468.5,1468.63,1440.38,1448.25,
2013-03-14,1448.13,1449.88,1429.13,1436.63,
2013-03-15,1436.75,1444.88,1422.88,1426.38,
2013-03-17,1424.88,1424.88,1415.25,1415.25,
2013-03-18,1415.63,1418.63,1404.38,1410.25,
2013-03-19,1410.38,1418.63,1403.13,1411.38,
2013-03-20,1411.13,1424.38,1408.88,1423.25,
2013-03-21,1423.13,1449.88,1421.88,1447.38,
2013-03-22,1447.25,1448.38,1433.13,1439.63,
2013-03-24,1440.63,1443.25,1440.63,1441.88,
2013-03-25,1441.75,1445.38,1430.75,1437.38,
2013-03-26,1437.63,1449.38,1434.25,1446.5,
2013-03-27,1446.38,1457.63,1443.75,1453.5,
2013-03-28,1453.63,1459.63,1397.63,1404.38,
2013-03-31,1402.5,1408.13,1400.13,1406.88,
