date,open,high,low,close,volume
2013-01-02,91.88,93.97,91.66,92.94,
2013-01-03,92.93,93.32,92.51,92.84,
2013-01-04,92.91,93.25,91.56,93.17,
2013-01-07,93.23,93.38,92.44,93.31,
2013-01-08,93.41,93.89,92.77,93.16,
2013-01-09,93.18,93.68,92.71,93.25,
2013-01-10,93.22,94.73,93.11,93.88,
2013-01-11,93.9,94.16,92.68,93.76,
2013-01-14,93.78,94.33,92.99,94.19,
2013-01-15,94.23,94.47,93.25,93.42,
2013-01-16,93.44,94.39,93.13,94.16,
2013-01-17,94.24,96.09,93.85,95.2,
2013-01-18,95.34,95.82,95.06,95.31,
2013-01-22,95.25,96.38,94.98,96.24,
2013-01-23,96.87,97.03,95.06,95.56,
2013-01-24,95.56,96.75,95.19,95.97,
2013-01-25,95.98,96.59,95.46,96.09,
2013-01-28,96.09,96.86,95.52,96.55,
2013-01-29,96.5,97.85,96.33,97.34,
2013-01-30,97.39,98.31,97.39,98.03,
2013-01-31,98.0,98.08,96.88,97.42,
2013-02-01,97.44,98.17,96.53,97.62,
2013-02-04,97.75,97.79,95.92,96.12,
2013-02-05,96.14,97.08,95.92,96.67,
2013-02-06,96.7,97.05,95.11,96.81,
2013-02-07,96.94,97.29,95.62,95.9,
2013-02-08,95.94,96.58,95.28,95.75,
2013-02-11,95.86,97.16,95.03,97.0,
2013-02-12,97.02,97.85,96.74,97.57,
2013-02-13,97.62,98.14,96.66,97.17,
2013-02-14,97.2,97.74,96.8,97.33,
2013-02-15,97.42,97.55,95.29,96.12,
2013-02-19,96.02,96.78,95.3,96.67,
2013-02-20,98.59,99.0,95.86,95.56,
2013-02-21,94.78,94.98,92.69,92.92,
2013-02-22,93.04,93.56,92.53,93.35,
2013-02-25,93.31,94.54,92.15,92.1,
2013-02-26,91.99,93.51,91.99,92.72,
2013-02-27,92.78,93.43,92.24,92.84,
2013-02-28,92.9,93.19,91.58,91.84,
2013-03-01,91.81,92.03,90.09,90.97,
2013-03-04,90.78,90.98,89.41,90.22,
2013-03-05,90.3,91.06,90.09,90.83,
2013-03-06,90.9,91.24,89.62,90.43,
2013-03-07,90.47,91.78,90.27,91.41,
2013-03-08,91.47,92.09,90.88,91.88,
2013-03-11,91.9,92.22,90.96,91.97,
2013-03-12,91.97,93.5,91.63,92.61,
2013-03-13,92.66,93.44,91.94,92.48,
2013-03-14,92.56,93.3,92.06,93.18,
2013-03-15,93.29,93.98,93.14,93.5,
2013-03-18,93.39,94.06,91.89,93.83,
2013-03-19,94.0,94.29,92.23,92.2,
2013-03-20,92.09,93.28,92.09,92.96,
2013-03-21,93.48,93.61,91.92,92.38,
2013-03-22,92.41,94.03,92.41,93.87,
2013-03-25,93.77,95.7,93.75,94.65,
2013-03-26,94.78,96.48,94.7,96.18,
2013-03-27,96.22,96.88,95.61,96.72,
2013-03-28,96.75,97.41,96.33,97.19,
2013-04-01,97.43,97.87,95.99,96.95,
2013-04-02,97.03,97.47,95.94,96.92,
2013-04-03,96.98,97.0,94.23,94.5,
2013-04-04,94.53,94.87,92.15,93.36,
2013-04-05,93.45,93.66,92.0,93.01,
2013-04-08,93.05,93.78,92.49,93.55,
2013-04-09,93.54,94.53,92.91,93.97,
2013-04-10,93.99,94.85,93.43,94.54,
2013-04-11,94.62,94.7,93.12,93.5,
2013-04-12,93.54,93.57,90.32,90.66,
2013-04-15,91.16,91.19,87.41,87.44,
2013-04-16,87.47,89.01,86.12,88.84,
2013-04-17,88.89,89.18,86.15,86.4,
2013-04-18,86.54,88.66,85.76,88.4,
2013-04-19,88.39,88.81,87.58,87.98,
2013-04-22,87.96,89.13,87.55,88.76,
2013-04-23,89.38,89.7,87.9,89.5,
2013-04-24,89.66,91.78,89.26,91.65,
2013-04-25,91.63,93.93,91.16,93.28,
2013-04-26,93.34,93.68,92.16,92.8,
2013-04-29,92.8,94.79,92.53,94.45,
2013-04-30,94.48,94.69,92.92,93.06,
2013-05-01,93.16,93.34,90.19,90.97,
2013-05-02,91.07,94.32,90.72,94.03,
2013-05-03,94.07,96.12,93.64,95.58,
2013-05-06,95.65,97.24,94.91,95.78,
2013-05-07,95.88,96.34,95.0,95.47,
2013-05-08,95.62,96.83,95.3,96.64,
2013-05-09,96.62,96.79,95.38,96.18,
2013-05-10,96.25,96.33,93.46,95.9,
2013-05-13,95.84,95.89,94.55,94.95,
2013-05-14,95.03,95.75,93.94,94.17,
2013-05-15,94.19,94.5,92.19,94.38,
2013-05-16,94.44,95.66,93.33,95.19,
2013-05-17,95.32,96.62,94.96,96.02,
2013-05-20,96.06,97.24,95.36,96.58,
2013-05-21,96.7,96.97,95.5,96.16,
2013-05-22,95.97,96.26,94.08,94.09,
2013-05-23,94.27,94.55,92.3,94.41,
2013-05-24,94.43,94.44,93.09,93.85,
2013-05-28,93.98,96.01,93.32,95.1,
2013-05-29,95.09,95.27,92.88,92.89,
2013-05-30,92.97,94.07,91.73,93.59,
2013-05-31,93.75,93.95,91.67,91.67,
2013-06-03,91.78,93.75,91.31,93.34,
2013-06-04,93.41,94.47,92.44,93.84,
2013-06-05,93.94,94.56,93.49,93.78,
2013-06-06,93.75,95.36,93.73,94.75,
2013-06-07,94.75,96.42,93.75,96.27,
2013-06-10,96.14,96.3,95.24,95.75,
2013-06-11,95.83,95.98,94.11,94.89,
2013-06-12,94.95,96.51,94.52,95.8,
2013-06-13,95.87,97.02,95.12,96.69,
2013-06-14,96.74,98.34,96.52,97.81,
2013-06-17,97.88,98.77,97.41,97.91,
2013-06-18,97.94,98.68,97.42,98.59,
2013-06-19,98.85,99.27,97.83,97.92,
2013-06-20,98.02,98.03,94.89,95.4,
2013-06-21,95.09,95.97,93.25,93.87,
2013-06-24,93.88,95.62,92.7,94.94,
2013-06-25,95.09,96.24,94.66,95.2,
2013-06-26,95.24,95.77,93.75,95.43,
2013-06-27,95.57,97.47,95.41,96.82,
2013-06-28,96.91,97.92,96.43,96.49,
2013-07-01,96.62,98.33,96.11,98.06,
2013-07-02,98.08,99.89,97.8,99.61,
2013-07-03,99.7,102.28,99.69,101.16,
2013-07-05,101.16,103.75,100.78,103.56,
2013-07-08,104.0,104.17,102.18,103.05,
2013-07-09,103.04,104.8,102.35,104.53,
2013-07-10,104.64,106.73,104.28,106.12,
2013-07-11,106.27,107.57,104.43,104.62,
2013-07-12,104.72,106.47,104.5,106.22,
2013-07-15,106.12,106.7,104.72,106.47,
2013-07-16,106.54,107.28,105.76,105.86,
2013-07-17,105.84,106.66,105.17,106.54,
2013-07-18,106.69,108.56,106.28,108.14,
2013-07-19,108.91,110.1,108.27,108.22,
2013-07-22,108.34,108.79,106.43,106.91,
2013-07-23,107.07,107.62,105.53,107.42,
2013-07-24,107.4,107.56,104.83,105.29,
2013-07-25,105.46,105.96,104.17,105.59,
2013-07-26,105.7,105.77,104.04,104.56,
2013-07-29,104.65,105.41,103.91,104.55,
2013-07-30,104.59,104.61,102.74,103.1,
2013-07-31,103.2,105.48,102.98,105.35,
2013-08-01,105.34,108.14,105.17,107.8,
2013-08-02,107.95,108.97,106.6,106.81,
2013-08-05,106.89,107.74,105.75,106.45,
2013-08-06,106.58,107.37,104.96,105.72,
2013-08-07,105.73,105.82,104.15,104.22,
2013-08-08,104.23,105.01,102.27,103.83,
2013-08-09,104.03,106.41,103.78,106.09,
2013-08-12,105.89,106.5,105.08,106.14,
2013-08-13,106.24,107.29,105.65,106.56,
2013-08-14,106.62,107.14,105.68,106.98,
2013-08-15,107.1,107.99,106.72,107.28,
2013-08-16,107.32,108.31,106.7,107.64,
2013-08-19,108.03,108.05,106.81,106.94,
2013-08-20,106.93,107.1,104.5,104.97,
2013-08-21,105.26,105.42,103.58,103.88,
2013-08-22,103.96,105.34,103.62,105.19,
2013-08-23,105.26,106.98,104.34,106.36,
2013-08-26,106.95,107.41,105.6,106.12,
2013-08-27,106.19,109.37,105.93,109.05,
2013-08-28,109.25,112.28,109.15,109.5,
2013-08-29,109.59,110.13,107.78,108.19,
2013-08-30,108.25,108.83,106.83,107.77,
2013-09-03,107.14,108.9,104.28,108.47,
2013-09-04,108.53,108.7,106.86,107.34,
2013-09-05,107.64,108.59,107.17,108.5,
2013-09-06,108.64,110.83,108.25,110.3,
2013-09-09,110.34,110.52,108.82,108.96,
2013-09-10,109.05,109.08,106.52,107.31,
2013-09-11,107.44,108.16,106.6,107.72,
2013-09-12,107.85,109.24,107.38,108.74,
2013-09-13,108.7,108.8,107.29,108.58,
2013-09-16,107.59,108.09,106.15,106.16,
2013-09-17,106.31,106.52,105.03,105.5,
2013-09-18,105.66,108.62,105.45,108.18,
2013-09-19,108.56,109.32,106.41,106.16,
2013-09-20,106.37,106.46,104.32,104.68,
2013-09-23,104.94,105.17,103.17,103.38,
2013-09-24,103.47,103.68,102.34,103.37,
2013-09-25,103.47,104.02,102.27,102.3,
2013-09-26,102.34,103.33,102.24,102.88,
2013-09-27,102.98,103.84,102.44,102.83,
2013-09-30,102.51,102.81,101.1,102.31,
2013-10-01,102.34,102.61,101.09,101.64,
2013-10-02,101.66,104.27,101.47,103.81,
2013-10-03,103.89,104.45,102.95,102.94,
2013-10-04,103.06,104.32,103.03,103.66,
2013-10-07,103.5,103.79,101.91,103.18,
2013-10-08,103.21,104.13,102.9,103.53,
2013-10-09,103.52,103.78,101.22,101.44,
2013-10-10,101.58,103.69,101.28,102.88,
2013-10-11,103.05,103.06,100.71,101.81,
2013-10-14,101.44,102.69,101.12,102.14,
2013-10-15,102.24,102.51,100.92,100.95,
2013-10-16,100.95,103.05,100.83,102.12,
2013-10-17,102.16,102.35,100.06,100.72,
2013-10-18,100.84,101.83,100.64,100.75,
2013-10-21,100.96,101.28,99.31,99.27,
2013-10-22,99.06,99.77,97.5,97.8,
2013-10-23,98.21,98.38,96.25,97.13,
2013-10-24,97.16,97.75,96.01,97.17,
2013-10-25,97.27,98.14,97.07,97.97,
2013-10-28,97.94,98.88,97.43,98.54,
2013-10-29,98.62,98.64,97.77,97.77,
2013-10-30,97.79,97.84,96.57,96.58,
2013-10-31,96.66,97.06,96.06,96.27,
2013-11-01,96.38,96.71,94.42,94.61,
2013-11-04,94.57,95.16,94.12,94.47,
2013-11-05,94.51,94.94,93.11,93.69,
2013-11-06,93.79,95.45,93.7,94.93,
2013-11-07,95.0,95.4,93.88,94.37,
