strategy,cagr,final_equity,total_return,sharpe_ratio,sortino_ratio,calmar_ratio,profit_factor,volatility_annual,annualized_volatility,max_drawdown,avg_drawdown,max_recovery_days,longest_flat_days,n_trades,n_signals,n_entries,n_completed_trades,win_rate,expectancy,payoff_ratio,trades_per_year,pct_months_positive,pct_years_positive,monthly_return_std,pct_time_invested,avg_exposure,max_exposure,avg_trade_duration,pct_profit_top5,pct_profit_top20pct,gini_trades,ruin_risk,worst_loss_streak,complexity_score,n_parameters,decisions_per_year,pain_index
BB_Rev_20_2.0std_mean,-0.0047,10205.6839,0.0206,0.2072,0.2744,0.2695,1.1576,0.1847,0.1847,-0.2987,-0.1181,522.2778,936.5833,0.1944,446.8889,31.3056,0.1944,1.0,0.0414,,3.3967,0.335,0.5529,0.0331,0.9494,0.228,1.0,6.5833,1.0,0.9254,0.0087,1.0,0.0,0.3203,3.0,4.0519,13.4038
BB_Rev_20_2.5std_upper,0.0388,15510.3773,0.551,0.3921,0.4724,0.2899,1.1406,0.2281,0.2281,-0.3371,-0.1188,576.1111,851.6667,0.0,880.5556,9.0556,0.0,,,,1.1924,0.32,0.5868,0.0514,0.9356,0.4517,1.0,,,,,,,0.306,3.0,1.1924,13.4629
DCA_Monthly,0.0545,54863.1554,4.4863,0.3648,0.4533,0.294,1.0912,0.1431,0.1431,-0.2545,-0.0825,558.1944,664.1389,63.1944,1959.2778,1.0,63.1944,0.0,0.0,,8.1228,0.5142,0.5998,0.0478,0.9788,0.3963,0.7614,0.0,,,,0.2545,0.0,0.2415,2.0,8.306,10.3341
DCA_Weekly,0.0638,60853.676,5.0854,0.3809,0.4843,0.306,1.0933,0.1726,0.1726,-0.2999,-0.0942,564.0556,670.8333,364.9167,1959.2778,1.0,364.9167,0.0,0.0,,47.5567,0.5284,0.6037,0.0564,0.998,0.5113,0.9524,0.0,,,,0.2999,0.0,0.4387,2.0,47.7399,11.9646
Donchian_20_10,0.1172,1594447.2887,158.4447,0.4529,0.5533,0.3599,1.1395,0.1548,0.1548,-0.2588,-0.1329,604.8333,985.6389,0.0,812.5833,28.8611,0.0,,,,3.7159,0.3529,0.5483,0.0748,0.9678,0.4064,1.0,,,,,,,0.2186,2.0,3.7159,14.3247
Donchian_55_20,0.0965,382868.8324,37.2869,0.3607,0.4501,0.3057,1.1174,0.1541,0.1541,-0.2428,-0.1248,679.0882,884.8611,0.0,695.8889,14.3889,0.0,,,,1.8593,0.2688,0.5493,0.072,0.9189,0.3423,1.0,,,,,,,0.2093,2.0,1.8593,13.1583
MA_Cross_EMA_20_200,0.0794,130185.2704,12.0185,0.3395,0.4212,0.2494,1.0747,0.1757,0.1757,-0.3095,-0.1677,566.5429,907.6389,0.1111,1023.8333,8.5278,0.1111,0.0,-0.0154,,0.9577,0.307,0.4533,0.0754,0.8106,0.4841,1.0,7.0,,,,0.1387,-0.0154,0.3053,3.0,1.065,17.1121
MA_Cross_SMA_20_200,0.0856,210917.1951,20.0917,0.3212,0.4273,0.2517,1.0892,0.2066,0.2066,-0.332,-0.1729,499.8824,970.0278,0.0,1014.4444,8.0278,0.0,,,,1.0088,0.3058,0.4635,0.077,0.8145,0.4827,1.0,,,,,,,0.305,3.0,1.0088,17.6871
MA_Cross_SMA_50_200,0.073,177682.8892,16.7683,0.248,0.3538,0.2122,1.0689,0.2221,0.2221,-0.347,-0.1845,428.6857,997.6944,0.0278,1021.5556,5.9167,0.0278,0.0,-0.0156,,0.7305,0.299,0.4276,0.0752,0.8094,0.4862,1.0,5.0,,,,0.0739,-0.0156,0.3038,3.0,0.7531,18.7624
MA_Filter_EMA_50,0.1267,1728285.3435,171.8285,0.4253,0.5643,0.3944,1.1123,0.1752,0.1752,-0.2996,-0.1542,636.9143,1013.25,1.2778,1064.0556,77.1389,1.2778,0.0,-0.0256,,5.2547,0.3689,0.5203,0.0809,0.9456,0.5313,1.0,2.5481,,,,0.3048,-0.0595,0.251,2.0,10.2084,16.6095
