"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"22.05.2026","99,186","99,165","99,380","99,115","21,12K","-0,03%"
"21.05.2026","99,218","99,095","99,465","99,010","28,82K","0,21%"
"20.05.2026","99,014","99,265","99,570","98,875","29,58K","-0,25%"
"19.05.2026","99,266","98,920","99,375","98,900","27,36K","0,16%"
"18.05.2026","99,105","99,215","99,340","98,865","20,69K","-0,10%"
"15.05.2026","99,208","98,830","99,245","98,830","24,44K","0,49%"
"14.05.2026","98,728","98,390","98,805","98,315","19,83K","0,31%"
"13.05.2026","98,423","98,235","98,585","98,150","18,43K","0,25%"
"12.05.2026","98,180","97,830","98,355","97,830","27,70K","0,36%"
"11.05.2026","97,824","97,850","98,040","97,720","15,17K","0,04%"
"08.05.2026","97,784","98,115","98,160","97,690","15,78K","-0,16%"
"07.05.2026","97,944","97,905","98,170","97,670","17,58K","0,07%"
"06.05.2026","97,875","98,200","98,210","97,470","27,81K","-0,44%"
"05.05.2026","98,310","98,350","98,445","98,180","16,33K","0,05%"
"04.05.2026","98,262","98,000","98,425","97,830","29,96K","0,26%"
"01.05.2026","98,005","98,020","98,105","97,570","22,39K","0,09%"
"30.04.2026","97,919","98,740","98,965","97,860","37,92K","-0,92%"
"29.04.2026","98,827","98,450","98,915","98,415","21,75K","0,36%"
"28.04.2026","98,476","98,280","98,710","98,260","16,81K","0,16%"
"27.04.2026","98,318","98,410","98,485","98,035","13,27K","-0,05%"
"24.04.2026","98,364","98,665","98,750","98,320","20,90K","-0,24%"
"23.04.2026","98,602","98,460","98,775","98,350","26,70K","0,19%"
"22.04.2026","98,412","98,205","98,475","98,025","19,87K","0,19%"
"21.04.2026","98,221","97,870","98,400","97,870","19,84K","0,32%"
"20.04.2026","97,907","98,230","98,345","97,815","20,93K","0,01%"
"17.04.2026","97,898","98,035","98,100","97,425","29,32K","-0,13%"
"16.04.2026","98,025","97,820","98,105","97,630","12,89K","0,18%"
"15.04.2026","97,851","97,875","98,085","97,795","13,60K","-0,06%"
"14.04.2026","97,908","98,150","98,200","97,750","20,30K","-0,26%"
"13.04.2026","98,163","98,920","98,990","98,150","24,53K","-0,28%"
